2024/10/28 下午 04:49:22: WriteRamupSCR MaxPower1 Succeeded!
2024/10/30 上午 11:27:26: AZ2 Connect Error6
2024/10/30 下午 03:14:55: AZ2 Connect Error6
2024/10/30 下午 03:17:04: AZ2 Connect Error6
2024/10/30 下午 03:17:48: AZ2 Connect Error6
2024/10/30 下午 03:18:18: AZ2 Connect Error6
2024/10/31 下午 02:00:11: AZ2 Connect Error6
2024/10/31 下午 02:01:15: AZ2 Connect Error6
2024/10/31 下午 02:02:29: AZ2 Connect Error6
2024/10/31 下午 02:18:00: AZ2 Connect Error6
2024/10/31 下午 02:46:32: AZ2 Connect Error6
2024/10/31 下午 02:50:51: AZ2 Connect Error6
2024/10/31 下午 02:51:52: AZ2 Connect Error6
2024/10/31 下午 03:06:09: AZ2 Connect Error6
2024/11/4 上午 10:57:49: AZ2 Connect Error6
2024/11/4 上午 11:04:21: AZ2 Connect Error6
2024/11/4 上午 11:07:19: AZ2 Connect Error6
2024/11/4 下午 01:24:32: AZ2 Connect Error6
2024/11/4 下午 01:26:11: AZ2 Connect Error6
2024/11/4 下午 01:26:51: AZ2 Connect Error6
2024/11/4 下午 01:27:09: AZ2 Connect Error6
2024/11/4 下午 01:45:38: AZ2 Connect Error6
2024/11/5 上午 11:30:11: AZ2 Connect Error6
2024/11/5 上午 11:30:23: AZ2 Connect Error6
2024/11/5 上午 11:31:07: AZ2 Connect Error6
2024/11/5 下午 04:22:51: AZ2 Connect Error9
2024/11/6 下午 01:38:30: AZ2 Connect Error6
2024/11/6 下午 01:39:56: AZ2 Connect Error6
2024/11/6 下午 01:47:13: AZ2 Connect Error6
2024/11/6 下午 01:49:15: AZ2 Connect Error6
2024/11/6 下午 01:51:00: AZ2 Connect Error6
2024/11/6 下午 01:55:54: AZ2 Connect Error6
2024/11/6 下午 01:57:52: AZ2 Connect Error6
2024/11/6 下午 02:01:24: AZ2 Connect Error6
2024/11/6 下午 02:13:41: AZ2 Connect Error6
2024/11/6 下午 02:17:45: AZ2 Connect Error6
2024/11/6 下午 02:19:28: AZ2 Connect Error6
2024/11/6 下午 02:23:31: AZ2 Connect Error6
2024/11/6 下午 02:25:26: AZ2 Connect Error6
2024/11/6 下午 02:27:50: AZ2 Connect Error6
2024/11/6 下午 02:28:20: AZ2 Connect Error6
2024/11/6 下午 02:30:28: AZ2 Connect Error6
2024/11/6 下午 02:31:31: AZ2 Connect Error6
2024/11/6 下午 02:36:00: AZ2 Connect Error6
2024/11/6 下午 02:43:48: AZ2 Connect Error6
2024/11/6 下午 03:20:50: SetMaxPowererError
2024/11/6 下午 03:21:48: SetMaxPowererError
2024/11/6 下午 03:24:05: SetMaxPowererError
2024/11/6 下午 05:41:40: AZ2 Connect Error6
2024/11/8 上午 09:48:48: AZ2 Connect Error6
2024/11/8 上午 09:49:59: AZ2 Connect Error6
2024/11/8 上午 09:53:09: AZ2 Connect Error6
2024/11/8 下午 02:30:37: AZ2 Connect Error6
2024/11/8 下午 02:33:17: AZ2 Connect Error6
2024/11/12 上午 09:00:54: AZ2 Connect Error6
2024/11/12 上午 10:53:54: AZ2 Connect Error6
2024/11/12 上午 10:58:34: AZ2 Connect Error6
2024/11/12 上午 11:00:04: AZ2 Connect Error6
2024/11/12 上午 11:00:53: AZ2 Connect Error6
2024/11/12 上午 11:03:30: AZ2 Connect Error6
2024/11/12 下午 12:00:34: AZ2 Connect Error6
2024/11/12 下午 01:19:34: AZ2 Connect Error6
2024/11/12 下午 01:20:02: AZ2 Connect Error6
2024/11/12 下午 01:56:56: AZ2 Connect Error6
2024/11/12 下午 02:05:18: AZ2 Connect Error6
2024/11/12 下午 02:11:37: AZ2 Connect Error6
2024/11/12 下午 03:53:29: AZ2 Connect Error6
2024/11/12 下午 04:29:51: AZ2 Connect Error6
2024/11/14 上午 09:34:23: AZ2 Connect Error6
2024/11/14 上午 10:08:05: AZ2 Connect Error6
2024/11/14 上午 10:09:31: AZ2 Connect Error6
2024/11/14 上午 10:11:22: AZ2 Connect Error6
2024/11/14 上午 10:12:11: AZ2 Connect Error6
2024/11/14 上午 10:17:10: AZ2 Connect Error6
2024/11/14 上午 10:28:36: AZ2 Connect Error6
2024/11/14 上午 10:29:01: AZ2 Connect Error6
2024/11/14 上午 10:31:41: AZ2 Connect Error6
2024/11/14 上午 10:32:27: AZ2 Connect Error6
2024/11/14 上午 10:44:09: AZ2 Connect Error6
2024/11/14 上午 10:45:17: AZ2 Connect Error6
2024/11/14 上午 11:01:43: AZ2 Connect Error6
2024/11/14 上午 11:56:17: AZ2 Connect Error6
2024/11/14 下午 02:56:04: AZ2 Connect Error6
2024/11/14 下午 04:07:48: AZ2 Connect Error6
2024/11/14 下午 04:14:00: AZ2 Connect Error6
2024/11/14 下午 04:18:37: AZ2 Connect Error6
2024/11/14 下午 04:20:11: AZ2 Connect Error6
2024/11/15 上午 10:38:08: AZ2 Connect Error6
2024/11/15 上午 10:52:25: AZ2 Connect Error6
2024/11/15 上午 11:06:53: AZ2 Connect Error6
2024/11/15 上午 11:11:14: AZ2 Connect Error6
2024/11/15 上午 11:19:16: AZ2 Connect Error6
2024/11/15 上午 11:34:37: AZ2 Connect Error6
2024/11/15 上午 11:35:35: AZ2 Connect Error6
2024/11/15 上午 11:36:24: AZ2 Connect Error6
2024/11/15 上午 11:37:46: AZ2 Connect Error6
2024/11/15 上午 11:38:30: AZ2 Connect Error6
2024/11/15 上午 11:41:24: AZ2 Connect Error6
2024/11/15 上午 11:41:40: AZ2 Connect Error6
2024/11/15 上午 11:43:17: AZ2 Connect Error6
2024/11/15 上午 11:44:31: AZ2 Connect Error6
2024/11/15 下午 01:14:01: AZ2 Connect Error6
2024/11/15 下午 01:24:44: AZ2 Connect Error6
2024/11/15 下午 01:26:22: AZ2 Connect Error6
2024/11/15 下午 01:33:54: AZ2 Connect Error6
2024/11/15 下午 02:44:43: AZ2 Connect Error6
2024/11/15 下午 03:00:32: AZ2 Connect Error6
2024/11/15 下午 03:08:09: AZ2 Connect Error6
2024/11/18 上午 09:20:32: AZ2 Connect Error6
2024/11/18 下午 04:30:07: AZ2 Connect Error6
2024/11/18 下午 04:34:52: AZ2 Connect Error6
2024/11/18 下午 04:38:22: AZ2 Connect Error6
2024/11/18 下午 04:48:25: AZ2 Connect Error6
2024/11/18 下午 04:48:44: AZ2 Connect Error6
